职位名称,关键词,薪水月薪,城市,公司名称,技能要求,工作经验,"招聘类型（校招，社招）
","产业链环节	",获取时间,职位详情
算法工程师（招聘5人）,数据中心网络,15-30K,无锡,无锡北微传感科技有限公司,"算法设计,运动控制算法,深度学习算法,视觉图像算法,C语言,惯性导航",经验不限,社招,数据中心网络,2023/1/11,"岗位职责：
1、惯性导航算法开发；
2、GNSS/INS组合导航算法开发；
3、多传感器融合，定姿、定位算法开发；
4、为公司其他部门提供必要的技术支持；
5、完成上级临时交代的工作任务。
任职要求：
1、导航、制导与控制、测控技术与仪器、自动化、通信、电子类相关专业；
2、 熟悉卡尔曼滤波等数据融合算法；
3、熟悉惯性导航，组合导航算法；
4、熟练使用Matlab；
5、了解加速度计、陀螺仪、磁力计和IMU；
6、 具有较强的上进心，有协作精神，沟通能力好强，执行力高，吃苦耐劳；
7、硕士研究生以上学历，985、211院校毕业优先录取；
8、具有汽车组合导航、工程挖机、农用机械、地质灾害监测、叉车AGV等算法实践经验者优先。"
系统工程师,数据中心网络,15-30K,无锡,国仪量子（合肥）技术有限公司,"Python,MySQL,嵌入式技术,C++,系统集成",1-3年,社招,数据中心网络,2023/1/11,"岗位职责：
1、熟练使用Ansys、Comsol等模拟软件进行有限元数值模拟；
2、负责系统方案的设计和相关技术文档的编写；
3、协同仪器研发的整体联调工作，定位发现问题；
4、负责验证性实验的方案设计、编写和实施；
5、具有良好的沟通表达能力，及时反馈沟通可能存在的问题；
6、完成方案、实验、测试等相关技术文档的编写。
任职要求：
1、硕士及以上学历，理工类相关专业，有电磁波、分析仪器、石油测井仪器设计项目经历优先；
2、熟练掌握Ansys、HFSS、Maxwell、Comsol等有限元模拟软件至少两个；
3、有较强的中文和英文文献阅读和学习能力；
4、至少掌握C/C++、python、matlab 其中一门，做数据分析处理；
5、具备需求分析和系统设计能力，熟悉电磁波、机械、电子学等基本知识；
6、责任心强、动手能力强、有团队合作精神，具有良好的表达能力，及时反馈沟通可能存在的问题。"
Python算法工程师,数据中心网络,12-24K,无锡,无锡高精智航医疗科技有限公司,"C++,Python,算法设计,深度学习算法,机器学习算法,PyTorch",1-3年,社招,数据中心网络,2023/1/11,"职位详情：
1. 参与公司产品后端医疗图形图像数据处理部分的设计与实现，提供高并发高性能高可靠的服务
2. 负责领导技术攻关和创新技术引用
3. 参与产品需求分析，业务逻辑流程与设计，文档编写
岗位要求：
1. python算法开发经验（Plus：三年以上经验，图像处理、数据处理算法）
2. 出色的编码能力，精通python3.6+，熟练掌握numpy，scipy，熟悉常用的算法，解决问题能力强（C++图像处理开发经验也可）
3. 熟悉项目工程化的流程和方法，熟悉pylint，pytest或unittest、Git、pyside或QT等开发工具
4. 有机器学习、人工智能项目开发经验、熟悉 Pytorch / Paddle
5. 有能力承担较高强度的开发工作"
NVH工程师,数据中心网络,9-14K,无锡,无锡吉兴汽车部件有限公司,"性能测试,功能测试",1-3年,社招,数据中心网络,2023/1/11,"任职要求：
1.硕士及以上学历，机械类、汽车类、声学类、工程力学类等相关专业。
2.熟悉声学噪声与振动测试原理，具备相关软硬件的操作能力（如LMS test、BK Pulse等）。
3.了解材料及产品相关测试方法和标准。
4.合作意识强，善于主动学习，有一定的抗压能力。
5.应届或3年以内工作经验。
岗位职责：
1.整车、零件、材料声学噪声与振动测试，对结果进行数据分析及评价，并完善声学性能数据库。
2.根据产品开发目标，提出声学包改善方案。
3.创新应用性研究，为未来产品需求储备相关技术。"
CAE算法研发,数据中心网络,15-30K,无锡,深海技术科学太湖实验室,"数学/统计相关专业,计算机相关专业",1-3年,社招,数据中心网络,2023/1/11,"岗位职责：
1.船舶CAE核心求解软件研发；
2.软件前沿技术（如区块链、云化、人工智能、大数据等）在船舶CAE软件研发中的应用研究；
3.相关科研和软件技术工作；
4.完成领导交办的其他工作。
岗位要求：
1.硕士及以上学历,数学，力学，计算机科学与技术等相关专业；
2.1年以上相关工作经验，有从事软件开发等相关工作经历；
3.具有扎实的数学基础、熟悉数据结构和数值计算；
4.熟悉软件工程，熟悉常规编程语言（C/C++/Fortran或Python）及其开发；
5.熟悉船舶工业软件发展的最新趋势；
6.有CAD/CAE软件研发经验者优先。
（本岗位招聘截止至2022年9月27日，如有意向，请尽快报名。）"
图像算法工程师,数据中心网络,15-20K,无锡,立川（无锡）半导体设备有限公司,"视觉图像算法,算法设计,C++,C#",1-3年,社招,数据中心网络,2023/1/11,"岗位职责：
1、负责图像处理算法的研究,开发和实现。
2、研究,开发和实现AI(包括深度学习)在图像算法中的应用。
岗位要求：
1、物理、计算机、数学、电子工程等相关专业，博士学历或具有2年以上相关工作经验的硕士；
2、扎实的数学和编程功底，精通图像滤波/增强算法，熟悉图像匹配、特征抽取和分类算法；
3、熟练使用C/C++、熟悉SSE、IPP、OpenCV或MIL等应用；
4、熟悉Windows、Linux开发环境；
5、熟悉计算机数据结构和算法、常用数值计算方法；
6、熟悉面向对象的软件设计；
7、有算法加速包括并行运算，SSE/AVX，或GPU经验者优先；
8、有C#，.Net，Python，ML经验者优先；
9、有基于图像的工业检测设备算法开发经验者优先；
10、有AI、深度学习方面的经验者优先；
11、具备良好的技术英语阅读和书面表达能力；
12、具备良好的团队合作精神和沟通能力，责任感强，工作认真仔细。"
SLAM高级算法工程师,数据中心网络,20-30K,无锡,北京超维世纪科技有限公司,"C++,嵌入式技术,视觉图像算法,运动控制算法,SLAM",3-5年,社招,数据中心网络,2023/1/11,"岗位职责：
1负责基本于移动机器人平台的导航/定位算法，为移动机器人提供准确快速的定位信息。
2负责机器人激光SLAM信息配准融合等前端算法的研究、实现与优化
3负责相关算法的开发、测试、嵌入式设备中移植、优化及产品化
任职要求：
1 、硕士以上学历，有比较丰富的单线、多线激光雷达的软件编程经验；    
2 、有扎实的数学基础，精通常见的几何、统计学、李群等基本理论，并熟悉这些技术在激光雷达点云处理、视觉slam领域中的应用； 
3 、熟练掌握C++、PCL、openCV库和常用的数据结构与算法，熟悉ransac，scan matching，回环检测，bundle adjustment等概念；
 4 、至少能够熟练使用一种slam的开源算法(gmapping, hector, cartographer)，使用过ceres，g2o，gtsam等工具箱。"
算法工程师,数据中心网络,15-20K,无锡,上海感图网络科技有限公司,"C++,Python,深度学习算法,视觉图像算法,TensorFlow,PyTorch,Keras",经验不限,社招,数据中心网络,2023/1/11,"岗位职责：
1、基于深度学习的计算机视觉、图像识别等智能算法的研究与开发；
2、负责图像处理类算法的优化及产品化；
3、负责计算机视觉算法的技术难点攻关、性能优化等。
4、紧跟学术前沿，开展高水平和创新性的研究，保持算法在工业界和学术界的领先，参与顶会论文投稿及专利申请
任职要求：
1、计算机、电子、自动化相关专业硕士或者博士毕业；
2、熟练运用PyTorch、TensorFlow、Keras等一个或多个框架，有深度学习实际项目经验；
3、熟悉机器视觉和图像处理常用算法，有图片处理相关经验，熟练使用OpenCV或Halcon；
4、熟练掌握C/C++语言或者Python，熟练掌握常用数据结构和算法；
5、熟练的英文读写能力；"
算法工程师,数据中心网络,12-17K,无锡,重庆仙桃易云数据有限公司,"C++,Python,算法设计,深度学习算法,TensorFlow,PyTorch,数据分析",1-3年,社招,数据中心网络,2023/1/11,"1.根据需求，参与项目产品相关的数据分析和建模；
2.负责深度学习算法前沿技术的研发、开发和产品优化；
3.负责项目产品深度学习和算法模块的设计，实现模型、算法应用到业务系统的产品化落地。
任职要求
1.计算机、深度学习等相关专业本科及以上学历，3~5年及以上相关工作经验；
2.具备熟练的python和C++编程能力，熟悉Linux环境；
3.至少熟悉Caffe/Tensorflow/Pytorch等其中一种框架，了解基础库的使用。具备相关项目经验优先；
4. 熟悉数据的整理和使用，深刻理解数据在深度学习任务中的地位，熟悉深度学习的全流程处理；
5.善于分析和解决问题，沟通能力强，有良好的团队精神，具备阅读英文文献的能力，学习能力强；
6.有强烈的责任心和主人翁意识。"
自动驾驶激光雷达摄像头感知算法工程师,数据中心网络,20-40K,无锡,博世创新软件开发（无锡）有限公司苏州分公司,"自动驾驶,视频算法,pytorch,C++,Python,3D点云库",3-5年,社招,数据中心网络,2023/1/11,"职责描述:
•测试，集成，标定， 同步ADAS车载传感器包含但不限：相机，激光雷达，IMU, 轮速计
•基于深度学习的传感器数据处理/分析/准备例如点云处理，正畸
•复现，测试，基于3D视觉（RGBD相机/激光雷达）的语义分割，环境重建算法
•参与基于3D点云环境地图处理算法的设计和开发过程
•分析项目需求，进行相关可用技术的调研分析，并根据需求和资源进行技术评估
•规划开发进度，并能按计划逐步完成开发工作
•记录开发进程及阶段性成果，里程碑成果进行总结汇报
•及时反馈开发进度及遇到的问题，与团队讨论并寻找解决方案，并记录
•有计算机视觉(pytorch)或者3D点云库处理相关研究和项目的经历
•良好的编程能力，熟悉C++, Python, ROS, Ubuntu.
•计算机，电子，机械或相关信息科学领域
•乐于学习新的工具和编程语言
•独立，积极和主动解决问题的能力
•良好的英文读写能力"
兼职模型训练工程师/图像识别,数据中心网络,20-25K,无锡,无锡漫鲨科技有限公司,"视觉图像算法,深度学习算法,TensorFlow,Caffe,PyTorch",3-5年,社招,数据中心网络,2023/1/11,"岗位职责：
1、针对客户的具体需求，进行计算机视觉相关应用研究，包括但不限于：图像分类、目标检测、目标跟踪、图像处理等；
2、根据业务需求，开展AI算法/模型的选择和优化，包括：准备数据、模型训练与评估、配合软件开发工程师实现平台算法、模型的工程化和服务化；
任职要求：
1、数学、计算机等相关专业硕士以上学历，有相关行业3年以上工作经验；
2、熟练使用Python、C++等语言，掌握一种以上深度学习框架，掌握OpenCV等基础库的使用；
3、熟悉Tensorflow/Caffe/Pytorch等图像识别领域最新框架；
4、熟练掌握等常见图像识别算法框架的训练及模型部署；
5、具有良好的团队精神，责任心强，为人诚实；
6、本岗位为兼职岗位，远程办公，工作时间灵活自由，目标导向制；投递者务必保证有足够时间配合项目的开发和推进。"
解决方案工程师,数据中心网络,7-12K,无锡,无锡暴雪科技有限公司,技术沟通,1-3年,社招,数据中心网络,2023/1/11,"工作能力和工作职责
1、熟悉企业型软件系统开发，了解大数据等相关知识，
2、有产品、售前、前端开发经验者优先，
3、具备很好的沟通能力学习能力，逻辑思维缜密，
4、主要负责基于客户的需求和公司产品相结合，并提供一定的解决方案的构建，对客户进行产品演示和技术沟通。
5、硕士以上学历，1-3年工作经验
薪资待遇：
7K-15K*15薪+奖金
  创业团队，数据类产品，团队氛围超级ok，扁平化管理，适合一起奋斗！
  工作期间你会得到快速成长，同时也能够直接接触各种大型企业，帮他们处理各类数据类产品需求。
加分项
有以下行业经验：数据服务"
中高级C++研发工程师,数据中心网络,30-55K,无锡,北京汤谷软件技术有限公司,"Linux,STL,数据结构,EDA,编译技术",3-5年,社招,数据中心网络,2023/1/11,"职位描述：
1. 开发和维护EDA Simulator软件相关模块；
2. 调试和诊断代码，优化产品性能；
3. 参与新产品的讨论和开发，编写相应模块的需求、设计和测试文档。
任职要求：
1. CS/EE相关专业，全日制本科及以上学历，本科3年、研究生1年以上工作经验；
2. 具备较丰富的Linux平台C++开发经验，熟悉多线程、stl等加分；
3. 熟练使用gdb/lldb，gcc/llvm等编译链接调试流程；懂编译链接技术加分；
4. 熟悉shell、Python等脚本语言加分；
5. 熟悉SystemVerilog、VHDL加分；
6. 有较强的算法和数据结构功底，具备较强的逻辑分析和解决问题能力，思维开阔、对新技术探索有较强的兴趣；
7. 良好的英文阅读和写作能力、良好的团队合作与沟通能力。"
自动驾驶感知算法工程师：,数据中心网络,13-15K,无锡,无锡太机脑智能科技有限公司,"算法设计,自然语言处理,深度学习算法,机器学习算法,视觉图像算法",1-3年,社招,数据中心网络,2023/1/11,"岗位职责：
1、负责激光雷达点云的目标检测、识别、跟踪、预测等算法研发；
2、负责激光雷达点云的场景语义理解、建模等相关算法研发；
3、负责camera、lidar、radar等多传感器融合算法研发；
4、负责障碍物场景语义、行为意图算法研发。
	
任职要求：
1、计算机、电子、应用数学等相关专业的硕士或以上学历；（优秀应届生亦可）
2、具有良好的机器学习的理论基础，良好的数学基础以及分析解决问题的能力；
3、理解车载LiDAR数据，具有良好的点云几何处理与深度学习理论基础，在点云检测、分割、识别去噪、配准、场景建模与语义理解等方面有相关实践经验；
4、深入理解卡尔曼滤波、粒子滤波、贝叶斯理论、概率论、最优化等相关理论；
5、具有实时自动驾驶/机器人系统开发搭建与性能优化经验；
6、熟悉C/C ++程序开发，具有良好的编程习惯；
7、具有良好的英文读写能力。"
图像融合配准算法工程师,数据中心网络,15-30K,无锡,无锡祥生医疗科技股份有限公司,"多模态医学图像配准与,医学图像分割,医学图像识别",经验不限,社招,数据中心网络,2023/1/11,"岗位职责：
1、负责医学图像处理算法研发，包括算法设计、实现、验证等； 
2、负责医学图像处理平台软件编程，包括医学图像三维成像及实时显示、人机交互、数据管理； 
3、依据机器人功能需求，配合其他功能模块进行软件集成测试； 
4、撰写技术文档及平台维护。
任职资格：
1、生物医学工程，自动控制、软件工程，应用数学等相关专业的硕士以上学历；
2、精通C/C++，MATLAB编程，熟悉常用的图像处理库：OpenCV，ITK，VTK，MITK，能够进行医学图像的可视化、二维图像处理和三维重建；
3、拥有以下专业技能优先（至少满足一条）：多模态医学图像配准与融合，医学图像分割，医学图像识别（机器学习，深度学习）； 
4、拥有医学图像后处理项目开发经验优先；
5、具有医学临床背景优先。"
模拟IC设计工程师,数据中心网络,30-50K,无锡,上海鲲程电子科技有限公司,"Verilog,Perl,半导体技术,单片机开发,PCB设计,电路设计,Cadence,CAD",5-10年,社招,数据中心网络,2023/1/11,"资深模拟设计工程师（MCU方向）：
岗位职责：
1、参与SOC/MCU产品规格和系统级架构定义；
2、负责模拟IP的功能/性能参数定义，仿真，设计；
3、负责模拟IP的数据手册文档更新，编写，维护； 
4、负责模拟IP的测试，评价，维护； 
5、指导版图工程师或独立完成版图设计； 
6、参与SOC/MCU芯片测试和量产支持。
岗位要求：
1、电子工程、或微电子等专业硕士学位及以上；
2、在模拟电路设计领域有5年以上工作经验；
3、 熟悉CMOS工艺模拟集成电路设计、流片和测试流程；
4、理解半导体工艺和器件原理，熟悉CAD设计工具, 熟悉低功耗设计方法；
5、熟练运用Cadence Virtuoso和Spectre、Hspice等设计软件和脚本编写；
6、熟悉perl，verilog或verilogA及matlab脚本编写；
7、熟悉Layout Guide，能指导版图工程师进行电路版图设计；
8、具有以下一个或多个模块的设计经验：PLL/LDO/Crystal/OSC/ADC/DAC/LVD/POR/BGR/OP/Comparator等；
9、具有团队精神，责任感，积极主动，沟通能力强。"
FPGA板级验证工程师（测试开发）,数据中心网络,16-25K,无锡,无锡中微亿芯有限公司,"芯片设计,ARM开发,芯片测试,Verilog,嵌入式技术,Linux",经验不限,社招,数据中心网络,2023/1/11,"1）负责FPGA产品各个模块的验证测试用例设计及方案制定；
2）负责FPGA芯片验证板设计及测试用例设计，FPGA代码编写，验证与调试、优化与总结；
3）参与或负责芯片产品的生产测试方案编写，测试规范的制定、ATE测试程序开发、数据分析、失效分析。
任职资格：
1）微电子、电子工程、集成电路、通信、自动化、仪器仪表及相关专业硕士及以上学历；
2）有芯片测试或者FPGA开发工作经验者优先；
3）熟悉FPGA板级开发测试、调试手段和方法，有调板经验者优先；
4）有Xilinx/Actel系列FPGA芯片开发经验，熟悉ISE/Vivado/Modelsim等EDA软件，熟练掌握Verilog语言；
5）熟悉FPGA高速IO接口，具有设计或测试经验者优先，包括FPGA SerDes、DDR、sRIO、PCIe、EMAC等；
6）有嵌入式软件\ARM LINUX 开发经验者优先。
福利待遇：国企福利，六险二金，做五休二，餐费补助，交通补助，全勤奖，项目津贴，年终奖，健身房，羽乒馆等"
技术总监,数据中心网络,20-40K,无锡,江苏奥立信数字科技有限公司,"Java,前端开发,Vue,React,SSH,SpringCloud,Hibernate,Mybatis",3-5年,社招,数据中心网络,2023/1/11,"岗位职责：
1.负责研发团队的搭建与管理，对技术人员进行技术指导和培训，负责分配开发任务，解决项目组在开发、测试、投产过程中遇到的技术问题
2.参与项目调研与需求分析，配合项目经理，对项目进行技术评估，制定技术方案和研发计划，并把控开发进度，实现项目的高质高效交付；
3. 负责不断对系统进行优化，分析和预估系统未来的瓶颈，制定合理解决方案；
4.理解业务需求，负责系统架构、数据模型的设计
5.主持编写系统架构设计说明书和软件概要设计说明书，负责系统关键模块代码的编写 
岗位要求：
1.计算机相关专业硕士以上学历
2.5年以上年IT从业经验，3年以上系统架构设计或分析经验，有一定的技术团队管理和项目管理经验
3.扎实的JAVA开发功底，熟悉SSM等主流开发框架，同时熟悉前端框架与语言者优先
4.有工业互联网平台相关经验者优先
5.特别优异者可发展为技术合伙人。
加分项
有以下行业经验：计算机软件"
算法组组长,数据中心网络,40-70K,无锡,上海安科迪智能科技有限公司,"深度学习算法,算法设计,视觉图像算法,Python,C++,数据分析",3-5年,社招,数据中心网络,2023/1/11,"工作内容：
1. 带领组员进行公司核心算法的升级和开发，增强自动化程度，结果质量和运行速度；核心算法包括但不限于阵列相机建模，基于双目视觉的高质量点云生成等计算机视觉算法；
2. 为算法在产品系统中碰到的问题提供解决方案，并生成新的知识产权项目；
3. 指导和管理算法部门人员完成交付给产品部门的算法模块的开发，并进行合理的质量测试和监管；关键点的测试需要结合亲自动手和安排不同的算法人员测试检查算法模块，确保质量。
任职要求：
1. 精通一部分图像算法，深度学习算法以及相应的编程语言。图像算法包括但不限于拼接，去噪，增强，压缩解压缩等方面，检测，追踪等方向；编程语言包括python和C++；
2. 有良好的数学和逻辑能力，能够重构算法数学结构来解决已有算法在产品中的不足，增加算法在部署平台上的运行/并行效率；
3. 计算机/数学/物理等方向的博士学位；
4. 必须有3年或以上的与图像算法和/或阵列数据分析相关算法相关的研究和开发经验。"
助理应用工程师（应届生培养）,数据中心网络,10-12K,无锡,无锡迅杰光远科技有限公司,近红外光谱,在校/应届,社招,数据中心网络,2023/1/11,"【岗位职责】
1、近红外产品的应用实验，包括需求调研，数据建模以及项目维护。
2、近红外产品的技术支持。
【任职要求】
1、硕士及以上学历，必须为化学、化工、食品、发酵、生物等相关专业。
2、有近红外应用经验、测试和建模等相关项目经验的优先。
3、具有建模算法研究和实践经验的优先。
4、具备较好的沟通表达能力、较强的抗压性、逻辑思维严谨、能适应一定的出差。
【福利待遇】
考勤制度：8:30-17:30，周末双休，法定节假日休。
薪酬福利：入职缴纳社保公积金、年终奖金、项目奖金、每年调薪。
其他福利：带薪年假、带薪病假、免费提供美味午餐、每年员工旅游、不定期团建娱乐活动、定期体检、节日福利、生日礼金。
【总部地址 】
江苏省无锡市新吴区珠江路52号迅杰光远综合大楼（地铁3号线-周泾巷站，步行8分钟到达）。"
研发热场设计工程师,数据中心网络,8-13K,无锡,双良集团有限公司,"新能源,SolidWorks,热动力,热分析,热能与动力工程专业,工程热物理专业,热物理,热能与动力工程",1-3年,社招,数据中心网络,2023/1/11,"岗位职责：
1、协助研发工程师完成新型热场设计；
2、协助研发工程师完成热场与品质数据报告分析；
3、协助研发工程师完成热场与拉晶生产数据分析报告。
任职要求：
1、新能源材料与器械、物理学、材料、热能与动力工程、数学等专业，硕士以上学历；
2、1年左右工作经验；
3、悉solidworks、CAD、CG-sim、fluent等软件；
4、有良好的沟通、学习能力，具备团队协助意识。"
产品工程（应届生）,数据中心网络,7-12K,无锡,无锡中微腾芯电子有限公司,PCB设计,在校/应届,社招,数据中心网络,2023/1/11,"岗位职责：
1、量产电路生产过程中的技术问题、质量问题分析、处理
2、量产电路的备用DUT制作、校准球、测试程序的移机、恢复等工作
3、生产测试程序核对，生产测试数据核查
4、生产技术状态管控
5、技术提升
6、领导交付的其他工作
任职要求：
1）教育背景：微电子相关专业，大学本科及以上学历；
2）技能要求：熟悉IC工作原理，熟悉办公软件、PCB画图软件
3）能力要求：良好的执行力和沟通能力
4）个性要求：良好的职业精神和职业道德，有较高的忠诚度，能够保守单位秘密"
算法工程师,数据中心网络,15-25K,无锡,广州博远装备科技有限公司,"研究导向,云计算,MATLAB,Python,C/C++,计算机相关专业,深度学习经验",经验不限,社招,数据中心网络,2023/1/11,"岗位职责：
1、雷达/通信/电子对抗系统算法设计、仿真分析与验证等工作
2、雷达/通信/电子对抗等领域相关预研课题论证、申报与研究
3、雷达/通信/电子对抗数字仿真相关项目的研究
4、智能化数据处理、认知智能探测、多源信息融合等前沿数据处理技术研究与攻关
任职资格：1、雷达、通信、电子对抗、信号处理、电子信息等相关专业背景，研究生以上学历；接受应届生
2、了解雷达系统，掌握雷达先进信号处理算法、低截获、抗干扰等领域相关理论
3、了解电子对抗系统，熟悉电子对抗相关信号侦察、测向、分选、识别处理技术
4、熟悉跟踪、识别、资源管理、多源信息融合、智能探测等相关知识和理论
5、熟练使用Matlab、C等仿真辅助设计工具
具备敬业、创新、协作等综合素质。"
传感器研发工程师,数据中心网络,10-15K,无锡,航天新气象科技有限公司,仪器仪表,经验不限,社招,数据中心网络,2023/1/11,"岗位职责：
1.在产品研发中承担技术开发的角色；
2.在产品研发中负责建模、仿真、算法开发等；
3.制定测试方案、测试计划，完成试验并记录、分析和交流测试结果
岗位要求：
1.研究生及以上学历，物理学、光学、仪器仪表学，物理建模与仿真、算法、数据分析等相关专业；
2.具有气象传感器研发经验者优先；
3.具有较强的动手能力和广泛的工程兴趣以及扎实的物理基础，并可将理论应用到实践中。"
机器学习算法工程师,数据中心网络,10-15K,无锡,无锡九方科技有限公司,"深度学习算法,Python,分布式技术,算法基础,TensorFlow,PyTorch,Caffe,Spark",1-3年,社招,数据中心网络,2023/1/11,"职责描述：
1.负责机器学习算法的开发及优化；
2.负责包括但不限于气象领域预测产品的核心模型与算法的创新研究与实现；
3.配合团队实现基于机器学习的软件产品并实现商业价值；
4.参与机器学习预测模型的产品和服务的实施。
岗位要求：
1.计算机、数学、统计等相关专业本科及以上学历，3年以上数据科学相关工作经验；
2.扎实的机器学习、数据统计理论和技术基础，具备相关研究或工程经验 ；
3.扎实的编程基础，熟练掌握Python/Matlab/R等数据处理语言中的一种或多种；
4.熟悉机器学习常用的软件框架，具有pytorch/caffe/tensorflow/hadoop/spark使用经验者优先；
5.较强的逻辑思维和独立思考能力，具有切实解决问题的能力；
6.熟悉Linux开发环境，良好的系统编程、数据结构、算法基础、系统设计能力。"
仿真与数字孪生解决方案,数据中心网络,15-22K,无锡,无锡雪浪数制科技有限公司,"Python,数字孪生,仿真",1-3年,社招,数据中心网络,2023/1/11,"职责描述：
1.      负责多学科系统仿真/多物理场耦合仿真/机电液等专业仿真技术/仿真数据管理技术/仿真过程控制技术的研究；
2.      负责调研、整理、编写联合仿真接口组件、工具组件开发方案；
3.      负责调研、整理、编写系统数字样机仿真开发方案；
4.      负责调研、整理、编写仿真模型标定、分析和优化流程开发方案；
5.      与软件开发团队合作进行联合仿真软件与接口的二次开发，参与软件的调试与优化。
 
任职要求：
1.      硕士及以上学历，理工科相关的专业；
2.      至少具备机电液热控等某一专业领域仿真领域的工作经验；至少精通Ansys、西门子、达索、PTC、奥泰尔、Mathworks等厂商的某一种仿真软件的使用；
3.      熟悉模型标定、模型分析、优化设计等相关知识，熟悉HX Modelcenter、Simcenter HEEDS、Ansys optiSLang、MSC SimManager、DS SIMULIA Isight、Optimus等流程与多学科优化软件者优先；
4.      具有系统联合仿真/多物理场耦合仿真经验者优先；熟悉MBSE方法论和基于Modelica语言的多学科系统仿真经验者优先；
5.      具有Java、Python等编程经验者或仿真二次开发经验者优先。"
算法工程师,数据中心网络,12-24K,无锡,江苏微之润智能技术有限公司,"深度学习算法,算法设计",3-5年,社招,数据中心网络,2023/1/11,"岗位职责：
1）负责公司产品算法开发工作, 能够不断深入理解业务和学习技术
    2）持续改进和开发算法以满足产品的准确度和多样性等多方面的需求、功能规划、技术实现；
    3）参与公司产品的代码开发、测试、维护及升级等工作。
任职要求：
1） 计算机科学、软件工程、自动化控制、地理信息、水文水资源、水利工程、供排水、环保、海洋等相关专业，本科及以上学历；
2）大专及以上学历，有3年及以上的java实际项目开发经验；
3）熟悉python语言，有机器学习算法相关经验，了解大规模数据挖掘，分布式计算等相关技术；
    4.责任心强，自我驱动型，具备良好学习、沟通能力及团队协作精神。"
机器视觉算法研发,数据中心网络,15-20K,无锡,深海技术科学太湖实验室,"计算机相关专业,图像识别经验",3-5年,社招,数据中心网络,2023/1/11,"岗位职责：
1.负责项目中目标信号和图像识别算法的研究、仿真及实现；
2.负责图像特征数据库的收集；
3.负责将算法移植到嵌入式处理器平台；
4.负责相关技术文件资料的编写等工作；
5.完成领导交办的其他工作。
岗位要求：
1.硕士及以上学历,计算机应用技术、模式识别与智能系统等相关专业；
2.3年以上相关工作经验，有从事图像处理、机器视觉等相关工作经验；
3.具有较好的图像处理算法基础与数据结构理论基础；
4.熟练使用C/C++、Python等编程语言进行图像处理算法研究和实现；
5.熟悉深度学习等人工智能技术在图像识别方面的应用；
6.熟悉常用的图像处理库，如Opencv等。"
机器人运动控制工程师,数据中心网络,15-30K,无锡,前元运立（北京）机器人智能科技有限公司,"C++,算法设计,控制算法,Matlab,轨迹规划,笛卡尔空间,动力学,ROS",1-3年,社招,数据中心网络,2023/1/11,"岗位职责：
1 多关节机械臂运动学控制算法的开发，包括关节空间、笛卡尔空间的轨迹规划及插补，轨迹过渡、速度前馈等；
2 多关节机械臂的动力学建模及算法开发，包括重力补偿、转矩前馈等建立仿真模型，对算法进行验证机器人算法的软件实现、配合整机联合调试文档编写。
任职要求：
1.全日制硕士及以上学历，自动化、机械、机械电子、航空航天、数学、物理、计算机等相关专业毕业；
2.具有扎实的数学基础，具有机器人学基础知识， 熟悉控制理论
3.精通C/C++，熟悉常见数据结构和算法；
4.具有机器人的运动学和动力学、轨迹规划、运动插补等项目经验优先；
5.熟悉Matlab机器人工具箱、ROS、OpenRave 等优先
6.熟练阅读英文文献，撰写英文文档，能够用英文口语进行技术沟通；
7.喜欢钻研，敢于面对复杂问题，有一定的抗压能力；
8.有良好的团队协作精神。"
模型策略分析师,数据中心网络,17-27K,无锡,无锡锡商银行股份有限公司,"风险控制,风控建模,风控策略,信贷风控,Python,SQL,R语言",1-3年,社招,数据中心网络,2023/1/11,"主要职责：
1、信用风险模型的开发和验证：基于实际数据，开发申请评分、催收评分等信用风险模型，对已有模型的运行情况进行监控、验证；
2、信贷风控策略的设计和优化：综合利用各种分析手段，设计信贷产品的风控策略，并对策略运行情况进行追踪、评估和优化；
3、反欺诈模型和策略的设计、开发和验证：设计并开发信贷产品的线上反欺诈模型和策略，并对模型和策略的运行情况进行监控、验证；
4、信贷产品和流程的风险控制：对贷款产品的线上风控流程进行设计、评估。
任职资格：
1、数学、统计学、经济学（计量经济学方向）或有较强机器学习理论和实践背景的其他专业，硕士研究生以上学历；
2、熟练掌握SAS、STATA、R软件中的至少一种，能熟练使用python的优先；
3、逻辑思维能力突出，对数据分析有浓厚的兴趣，踏实认真，有责任感；
4、应届生或毕业2年以内，985院校、海归优先。
岗位职级
专员/助理"
